title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
Echo 3,(2022– ),49 min,"Action, Drama, Thriller",6.6,"Michiel Huisman, Luke Evans, Jessica Ann Collins, James Udom","When Amber Chesborough goes missing along the Colombia-Venezuela border, her brother and her husband struggle to find her against the backdrop of a secret war."
Chainsaw Man,(2022– ),25 min,"Animation, Action, Adventure",8.6,"Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki, Shogo Sakata","Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils."
Stonehouse,-2023,****,"Biography, Comedy, Drama",7.1,"Matthew Macfadyen, Simon Greenall, Kevin McNally, Dorothy Atkinson",A British politician who faked his own death.
You,(2018– ),45 min,"Crime, Drama, Romance",7.7,"Penn Badgley, Victoria Pedretti, Tati Gabrielle, Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Shameless,(2011–2021),46 min,"Comedy, Drama",8.6,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White","A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Family Guy,(1999– ),22 min,"Animation, Comedy",8.2,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis","In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
New Amsterdam,(2018–2023),43 min,Drama,8,"Ryan Eggold, Janet Montgomery, Jocko Sims, Tyler Labine",A new medical director breaks the rules to heal the system at America's oldest public hospital.
Letterkenny,(2016– ),30 min,Comedy,8.7,"Jared Keeso, Nathan Dales, Michelle Mylett, K. Trevor Wilson","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
Guillermo del Toro's Cabinet of Curiosities,(2022– ),60 min,"Drama, Horror, Mystery",7.1,"Lize Johnston, Kevin Keppy, F. Murray Abraham, Kate Micucci","Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro."
The Last Kingdom,(2015–2022),60 min,"Action, Drama, History",8.5,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Mark Rowley","As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
Dead to Me,(2019–2022),30 min,"Comedy, Crime, Drama",8,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler",A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
Step by Step,(1991–1998),30 min,"Comedy, Family, Romance",6.5,"Patrick Duffy, Suzanne Somers, Brandon Call, Staci Keanan","Two families become one, step by step."
The Wire,(2002–2008),59 min,"Crime, Drama, Thriller",9.3,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Shingeki no Kyojin,(2013–2023),24 min,"Animation, Action, Adventure",9,"Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Firefly Lane,(2021–2023),****,"Drama, Romance",7.4,"Katherine Heigl, Sarah Chalke, Ben Lawson, Ali Skovbye",Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.
House M.D.,(2004–2012),44 min,"Drama, Mystery",8.7,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
The Watcher,(2022– ),332 min,"Drama, Horror, Mystery",6.5,"Naomi Watts, Bobby Cannavale, Mia Farrow, Terry Kinney","A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher."""
Outlander,(2014– ),60 min,"Drama, Fantasy, Romance",8.4,"Caitríona Balfe, Sam Heughan, Sophie Skelton, Richard Rankin",An English combat nurse from 1945 is mysteriously swept back in time to 1743.
Marie Antoinette,(2022– ),52 min,"Biography, Drama, History",7.2,"Emilia Schüle, Louis Cunningham, Jack Archer, Jasmine Blackborow","Follows the famed queen Marie Antoinette, who was the last queen of France before the French Revolution."
Your Honor,(II) (2020–2023),57 min,"Crime, Drama, Thriller",7.6,"Bryan Cranston, Hope Davis, Isiah Whitlock Jr., Benjamin Flores Jr.","A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family. Facing impossible choices, he discovers how far a father will go to save his son's life."
Bad Sisters,(2022– ),53 min,"Comedy, Drama, Thriller",8.3,"Sharon Horgan, Claes Bang, Eve Hewson, Sarah Greene","Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other."
Mythic Quest: Raven's Banquet,(2020– ),30 min,Comedy,7.8,"Rob McElhenney, Charlotte Nicdao, Ashly Burch, Jessie Ennis",The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
Outer Banks,(2020– ),50 min,"Action, Crime, Drama",7.6,"Chase Stokes, Madelyn Cline, Madison Bailey, J.D.",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long-buried secret.
Brooklyn Nine-Nine,(2013–2021),22 min,"Comedy, Crime",8.4,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
