title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
Star Trek: The Next Generation,(1987–1994),44 min,"Action, Adventure, Sci-Fi",8.7,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
Night Court,(1984–1992),30 min,Comedy,7.7,"Harry Anderson, John Larroquette, Richard Moll, Charles Robinson",An eccentric fun-loving judge presides over an urban night court and all the silliness going on there.
The Consultant,(2023– ),****,Comedy,****,"Christoph Waltz, Nat Wolff, Brittany O'Grady, Aimee Carrero","Follows a relationship between employee and boss, asking how far we will go to get ahead, and to survive."
The Terminal List,(2022– ),55 min,"Action, Drama, Thriller",7.9,"Chris Pratt, Constance Wu, Taylor Kitsch, Riley Keough",A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.
Boku no hîrô akademia,(2016– ),24 min,"Animation, Action, Adventure",8.4,"Daiki Yamashita, Justin Briner, Nobuhiko Okamoto, Ayane Sakura",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
Fantasy Island,(2021– ),****,"Adventure, Drama, Fantasy",6.1,"Roselyn Sanchez, Kiara Barnes, John Gabriel Rodriquez, Daniel Lugo","People who walk in with a desire, but end up reborn to themselves through the magical realism of Fantasy Island."
La casa de papel,(2017–2021),70 min,"Action, Crime, Drama",8.2,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
What We Do in the Shadows,(2019– ),30 min,"Comedy, Fantasy, Horror",8.6,"Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén",A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.
Mad Men,(2007–2015),47 min,Drama,8.7,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
Shantaram,-2022,52 min,"Action, Adventure, Crime",7.5,"Sujaya Dasgupta, Antonia Desplat, Rachel Kamath, Elektra Kilbey","A heroin addict incarcerated for a robbery escapes prison and reinvents himself as a doctor in the slums of Bombay; his ties to the crime underworld there lead him to Afghanistan, where he ...                See full summary »"
The Expanse,(2015–2022),60 min,"Drama, Mystery, Sci-Fi",8.5,"Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
Waterloo Road,(2023– ),60 min,Drama,7.8,"Angela Griffin, James Baxter, Jo Coffey, Neil Fitzmaurice",Drama series following the trials and tribulations of Waterloo Road High School in Greater Manchester.
Derry Girls,(2018–2022),30 min,Comedy,8.5,"Saoirse-Monica Jackson, Louisa Harland, Tara Lynne O'Neill, Kathy Kiera Clarke",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
This Is Us,(2016–2022),45 min,"Comedy, Drama, Romance",8.7,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz","A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
Machos Alfa,(2022– ),30 min,Comedy,7.3,"Gorka Otxoa, Fernando Gil, Raúl Tejón, Paula Gallego","Pedro, Luis, Raúl and Santi are four friends who feel a bit lost in the new world of empowered women, each trying to adjust in their own haphazard way."
Downton Abbey,(2010–2015),58 min,"Drama, Romance",8.7,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
Smallville,(2001–2011),60 min,"Action, Adventure, Drama",7.5,"Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk","A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
Barry,(2018– ),30 min,"Action, Comedy, Crime",8.4,"Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
Mayflies,(2022– ),58 min,Drama,7.8,"Matt Littleson, Martin Compston, Tony Curran, Tom Glynn-Carney","A friendship forged between James and Tully in a small Scottish town in 1986. One weekend, they make a vow to each other to go at life differently. But then, 30 years on, half a life away, the phone rings. Tully has the worst kind of news."
The 100,(2014–2020),43 min,"Drama, Mystery, Sci-Fi",7.6,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington","Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
Curb Your Enthusiasm,(2000– ),28 min,Comedy,8.8,"Larry David, Cheryl Hines, Jeff Garlin, Susie Essman",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
Bluey,(2018– ),7 min,"Animation, Family",9.6,"David McCormack, Melanie Zanetti, Ninthe van Schie, Brad Elliott",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.
Riptide,(2022– ),****,Thriller,5.4,"David Berry, Jo Joyner, Ciaran Griffiths, Peter O'Brien","Alison, whose life is plunged into despair when her new Australian husband vanishes after a morning surf. It quickly becomes obvious there is more to the story than meets the eye as she sets out to investigate his disappearance"
Banshee,(2013–2016),60 min,"Action, Crime, Drama",8.4,"Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison","An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business."
Servant,(2019–2023),30 min,"Drama, Horror, Mystery",7.5,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.
Prison Break,(2005–2017),44 min,"Action, Crime, Drama",8.3,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
Ghosts,(2019– ),30 min,"Comedy, Fantasy",8.3,"Lolly Adefope, Mathew Baynton, Simon Farnaby, Martha Howe-Douglas","A group of spirits restlessly squabble in an abandoned country home. To their despair, a young couple inherit the house with hopeful plans to renovate it into a luxury hotel."
Frasier,(1993–2004),22 min,Comedy,8.2,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin","Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist."
Warrior Nun,(2020–2022),****,"Action, Drama, Fantasy",7,"Alba Baptista, Kristina Tonteri-Young, Lorena Andrea, Tristán Ulloa","After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns."
Person of Interest,(2011–2016),43 min,"Action, Crime, Drama",8.5,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson","An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
Once Upon a Time,(2011–2018),60 min,"Adventure, Fantasy, Romance",7.7,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
She-Hulk: Attorney at Law,-2022,35 min,"Action, Adventure, Comedy",5.2,"Tatiana Maslany, Ginger Gonzaga, Malia Arrayah, Jameela Jamil","Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
Halo,(2022– ),60 min,"Action, Adventure, Sci-Fi",7.1,"Pablo Schreiber, Shabana Azmi, Natasha Culzac, Olive Gray",Aliens threaten human existence in an epic 26th-century showdown.
Teen Wolf,(2011–2017),41 min,"Action, Drama, Fantasy",7.7,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
Star Trek: Discovery,(2017– ),60 min,"Action, Adventure, Drama",7,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Emily Coutts","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
Interview with the Vampire,(2022– ),****,"Drama, Fantasy, Horror",7,"Jacob Anderson, Sam Reid, Eric Bogosian, Assad Zaman","Based on Anne Rice's iconic novel, follow Louis de Pointe's epic story of love, blood and the perils of immortality, as told to the journalist Daniel Molloy."
The Mentalist,(2008–2015),43 min,"Crime, Drama, Mystery",8.1,"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman","A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
Cheers,(1982–1993),22 min,"Comedy, Drama",7.9,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt","The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name."
Schitt's Creek,(2015–2020),22 min,Comedy,8.5,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
Gangs of London,(2020– ),60 min,"Action, Crime, Drama",8.1,"Sope Dirisu, Joe Cole, Michelle Fairley, Lucian Msamati",Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.
Homeland,(2011–2020),55 min,"Crime, Drama, Mystery",8.3,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
Tokyo Vice,(2022– ),60 min,"Crime, Drama, Thriller",8,"Ansel Elgort, Ken Watanabe, Rachel Keller, Shô Kasamatsu",A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.
Gossip Girl,(2007–2012),42 min,"Drama, Romance",7.5,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
Night Court,(2023– ),****,Comedy,****,"Melissa Rauch, John Larroquette, India de Beaufort, Lacretta","Follows judge Abby Stone, as she presides over the night shift of a Manhattan arraignment court and tries to bring order to its crew."
Psych,(2006–2014),44 min,"Comedy, Crime, Mystery",8.4,"James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen","When a novice sleuth convinces the police he has psychic powers, he and his reluctant best friend are hired on as consultants to help solve complicated cases."
So Help Me Todd,(2022– ),43 min,Drama,7.3,"Skylar Astin, Madeline Wise, Marcia Gay Harden, Tristen J. Winger","A talented P.I. agrees to work as the in-house investigator for his mother, who is reeling from the recent dissolution of her marriage."
Hawaii Five-0,(2010–2020),42 min,"Action, Crime, Drama",7.4,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim","When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0."
Ojing-eo geim,(2021– ),55 min,"Action, Drama, Mystery",8,"Lee Jung-jae, Park Hae-soo, Hoyeon, Oh Yeong-su","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake."
The Lying Life of Adults,(2023– ),50 min,Drama,6.6,"Giuseppe Brunetti, Valeria Golino, Pina Turco, Giordana Marengo","A girl in search of her true reflection in a divided Naples: the Naples of the heights, which assumes a mask of refinement, and the Naples of the depths, a place of excess and vulgarity."
Foundation,(2021– ),60 min,"Drama, Sci-Fi",7.4,"Lou Llobell, Jared Harris, Lee Pace, Leah Harvey",A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.
Arrested Development,(2003–2019),22 min,Comedy,8.7,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrow,(2012–2020),42 min,"Action, Adventure, Crime",7.5,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
Father Brown,(2013– ),52 min,"Crime, Drama, Mystery",7.8,"Mark Williams, Sorcha Cusack, John Burton, Jack Deam",Series inspired by the stories of GK Chesterton; a Catholic priest has a knack for solving mysteries in his English village.
Bob's Burgers,(2011– ),22 min,"Animation, Comedy",8.2,"H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts",Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.
The Devil's Hour,(2022– ),60 min,"Drama, Thriller",7.7,"Jessica Raine, Peter Capaldi, Nikesh Patel, Benjamin Chivers","A woman who wakes up every night at exactly 3.33AM, in the middle of the so-called devil's hour between 3AM and 4AM."
Mr. Robot,(2015–2019),49 min,"Crime, Drama, Thriller",8.6,"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
S.W.A.T.,(2017– ),43 min,"Action, Adventure, Crime",7.1,"Shemar Moore, Alex Russell, Kenny Johnson, Jay Harrington",Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
Bleach: Sennen Kessen-hen,(2022– ),24 min,"Animation, Action, Adventure",9.2,"Masakazu Morita, Johnny Yong Bosch, Takayuki Sugô, Ryûsei Nakao","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town."
"Love, Death & Robots",(2019– ),15 min,"Animation, Short, Action",8.4,"Fred Tatasciore, Scott Whyte, Nolan North, Noshir Dalal","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
Doc Martin,(2004–2022),46 min,"Comedy, Drama, Romance",8.4,"Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom","The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall."
Avatar: The Last Airbender,(2005–2008),23 min,"Animation, Action, Adventure",9.3,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
BoJack Horseman,(2014–2020),25 min,"Animation, Comedy, Drama",8.8,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
Aillaendeu,(2022– ),****,"Action, Adventure, Fantasy",6.9,"Nam-gil Kim, Cha Eun-Woo, Lee Da-hee, Sung Jun","Won Mi Ho's arrogant and selfish attitude causes her father banishing her to Jeju island. Unbeknownst to her, the island is where evil roams free."
Vera,(2011– ),90 min,"Crime, Drama, Mystery",8.1,"Brenda Blethyn, Jon Morrison, Riley Jones, Kenny Doughty","With her caustic wit and singular charm, DCI Vera Stanhope leads her team as they face a series of captivating murder mysteries set against the breathtaking Northumberland landscape."
See,(2019–2022),60 min,"Action, Drama, Sci-Fi",7.6,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight."
All Creatures Great and Small,(2020– ),****,"Comedy, Drama",8.6,"Nicholas Ralph, Anna Madeley, Samuel West, Rachel Shenton",The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.
Billions,(2016– ),60 min,Drama,8.4,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile","New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
Daredevil,(2015–2018),54 min,"Action, Crime, Drama",8.6,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Orange Is the New Black,(2013–2019),59 min,"Comedy, Crime, Drama",8.1,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles","Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
Scrubs,(2001–2010),22 min,"Comedy, Drama",8.4,"Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley","In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
Peacemaker,(2022– ),40 min,"Action, Adventure, Comedy",8.3,"John Cena, Danielle Brooks, Freddie Stroma, Jennifer Holland","Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
"Murder, She Wrote",(1984–1996),50 min,"Crime, Drama, Mystery",7.1,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum","Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
CSI: Vegas,(2021– ),60 min,"Crime, Drama, Mystery",7.5,"Paula Newsome, Matt Lauria, Mandeep Dhillon, Jay Lee","Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City."
Kimetsu no Yaiba,(2019– ),24 min,"Animation, Action, Adventure",8.7,"Natsuki Hanae, Zach Aguilar, Abby Trott, Yoshitsugu Matsuoka","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
The Marvelous Mrs. Maisel,(2017– ),57 min,"Comedy, Drama",8.7,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
Arcane: League of Legends,(2021– ),41 min,"Animation, Action, Adventure",9,"Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
Mindhunter,(2017–2019),60 min,"Crime, Drama, Mystery",8.6,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
The Wheel of Time,(2021– ),60 min,"Action, Adventure, Drama",7.1,"Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins","Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
Justified,(2010–2015),44 min,"Action, Crime, Drama",8.6,"Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
The Addams Family,(1964–1966),30 min,"Comedy, Family, Horror",8,"John Astin, Carolyn Jones, Jackie Coogan, Ted Cassidy",The misadventures of a blissfully macabre but extremely loving family.
CSI: Crime Scene Investigation,(2000–2015),60 min,"Crime, Drama, Mystery",7.7,"William Petersen, Laurence Fishburne, Ted Danson, George Eads",Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.
Star Trek: Picard,(2020–2023),46 min,"Action, Adventure, Drama",7.3,"Patrick Stewart, Alison Pill, Michelle Hurd, Santiago Cabrera",Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life.
Waterloo Road,(2006–2015),53 min,"Drama, Romance",7.2,"Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch",Contemporary drama series set in a challenging comprehensive school.
Tell Me Lies,(2022– ),49 min,Drama,6.7,"Grace Van Patten, Jackson White, Catherine Missal, Spencer House",The story of a young woman's obsession with a man who is good at being charming.
Leverage: Redemption,(2021– ),****,"Crime, Mystery, Thriller",8.3,"Gina Bellman, Christian Kane, Beth Riesgraf, Aleyse Shannon","The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage."
Star Wars: The Clone Wars,(2008–2020),23 min,"Animation, Action, Adventure",8.4,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
Narcos,(2015–2017),49 min,"Biography, Crime, Drama",8.8,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
Twin Peaks,(1990–1991),47 min,"Crime, Drama, Mystery",8.8,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
Chicago Med,(2015– ),43 min,Drama,7.6,"Nick Gehlfuss, Marlyne Barrett, S. Epatha Merkerson, Oliver Platt","The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships."
Poirot,(1989–2013),100 min,"Crime, Drama, Mystery",8.6,"David Suchet, Hugh Fraser, Philip Jackson, Pauline Moran","The cases of eccentric, but sharp, Belgian detective Hercule Poirot."
Spartacus: Blood and Sand,(2010–2013),55 min,"Action, Adventure, Biography",8.5,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
M*A*S*H,(1972–1983),25 min,"Comedy, Drama, War",8.4,"Alan Alda, Wayne Rogers, Loretta Swit, Jamie Farr",The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.
Bosch,(2014–2021),51 min,"Crime, Drama",8.5,"Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",An L.A.P.D. homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer.
Chuck,(2007–2012),43 min,"Action, Comedy, Drama",8.2,"Zachary Levi, Yvonne Strahovski, Joshua Gomez, Vik Sahay","When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills."
Star Trek: Deep Space Nine,(1993–1999),45 min,"Action, Adventure, Drama",8.1,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig","In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
Superstore,(2015–2021),22 min,Comedy,7.8,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",A look at the lives of employees at a big box store.
From,(2022– ),52 min,"Drama, Horror, Mystery",7.6,"Scott McCord, Harold Perrineau, Catalina Sandino Moreno, Eion Bailey","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest."
Monster,(2004–2005),24 min,"Animation, Crime, Drama",8.7,"Hidenobu Kiuchi, Liam O'Brien, Mamiko Noto, Karen Strassman",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.
Line of Duty,(2012–2021),60 min,"Crime, Drama, Mystery",8.7,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson","Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
Black Mafia Family,(2021– ),60 min,"Biography, Crime, Drama",7.5,"Tyshon Freeman, Christian Robinson, Markice Moore, Rafael Castillo",Two brothers who rose from the decaying streets of southwest Detroit in the late 1980's and gave birth to one of the most influential crime families in the country.
Élite,(2018– ),60 min,"Crime, Drama, Thriller",7.3,"Omar Ayuso, Itzan Escamilla, Miguel Bernardeau, Arón Piper","When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
Pretty Little Liars,(2010–2017),44 min,"Drama, Mystery, Romance",7.4,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
Star Trek,(1966–1969),50 min,"Action, Adventure, Sci-Fi",8.4,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols","In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
Call Me Kat,(2021– ),21 min,Comedy,5.3,"Mayim Bialik, Swoosie Kurtz, Kyla Pratt, Cheyenne Jackson",A 39-year-old woman decides to use the money her parents had been saving for her wedding to open a cat-themed cafe.
24,(2001–2010),44 min,"Action, Crime, Drama",8.4,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert",Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
The Lincoln Lawyer,(2022– ),60 min,"Crime, Drama, Mystery",7.7,"Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson",An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.
Sex and the City,(1998–2004),30 min,"Comedy, Drama, Romance",7.3,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
Gunsmoke,(1955–1975),60 min,Western,8.1,"James Arness, Milburn Stone, Amanda Blake, Ken Curtis",Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.
Animal Kingdom,(2016–2022),60 min,"Crime, Drama",8.2,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities."
Perry Mason,(1957–1966),60 min,"Crime, Drama, Mystery",8.3,"Raymond Burr, Barbara Hale, William Hopper, Ray Collins","The cases of a master criminal defense attorney, handling the most difficult of cases in the aid of the innocent."
Riverdale,(2017– ),45 min,"Crime, Drama, Mystery",6.6,"Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Romantic Getaway,(2023– ),****,Comedy,5.8,"Romesh Ranganathan, Katherine Ryan, Johnny Vegas, Harrie Hayes","Allison and Deacon are desperate for a baby, but they've run out of money to fund any more IVF treatment. So they decide to 'borrow' the £50k they need from their filthy rich boss Alfie - but Deacon adds an extra 0 to the transfer."
Love Life,(2020–2021),35 min,"Comedy, Romance",7.5,"Anna Kendrick, Zoe Chao, Peter Vack, Sasha Compère",Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting
The Good Place,(2016–2020),22 min,"Comedy, Drama, Fantasy",8.2,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
Boardwalk Empire,(2010–2014),55 min,"Crime, Drama",8.6,"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
